tipo_sort ord_vetor tamanho_vetor n_comp n_mov tempo
QPE Ale 50000 745820 400420 0.0074845
QPE Ale 100000 1.58297e+06 848493 0.015685
QPE Ale 150000 2.51677e+06 1.31256e+06 0.024713
QPE Ale 200000 3.41194e+06 1.79096e+06 0.0364505
QPE Ale 250000 4.3268e+06 2.27377e+06 0.042237
QPE Ale 300000 5.3796e+06 2.75726e+06 0.0575965
QPE Ale 350000 6.19988e+06 3.25961e+06 0.0603615
QPE Ale 400000 7.2398e+06 3.7641e+06 0.07821
QPE Ale 450000 8.23743e+06 4.26687e+06 0.083331
QPE Ale 500000 9.28888e+06 4.77566e+06 0.088144
QPE OrdC 50000 1.24998e+09 99998 3.02348
QPE OrdC 100000 4.99995e+09 199998 11.6203
QPE OrdC 150000 1.12499e+10 299998 26.1784
QPE OrdC 200000 1.99999e+10 399998 46.1675
QPE OrdC 250000 3.12499e+10 499998 72.6541
QPE OrdC 300000 4.49998e+10 599998 103.776
QPE OrdC 350000 6.12498e+10 699998 146.828
QPE OrdC 400000 7.99998e+10 799998 193.969
QPE OrdC 450000 1.0125e+11 899998 248.216
QPE OrdC 500000 1.25e+11 999998 306.017
QPE OrdD 50000 1.24995e+09 99998 2.9834
QPE OrdD 100000 4.9999e+09 199998 11.9124
QPE OrdD 150000 1.12499e+10 299998 26.913
QPE OrdD 200000 1.99998e+10 399998 47.9003
QPE OrdD 250000 3.12498e+10 499998 73.8789
QPE OrdD 300000 4.49997e+10 599998 106.433
QPE OrdD 350000 6.12497e+10 699998 145.619
QPE OrdD 400000 7.99996e+10 799998 188.056
QPE OrdD 450000 1.0125e+11 899998 238.231
QPE OrdD 500000 1.24999e+11 999998 302.674
QNR Ale 50000 78286 39670.3 0.000612
QNR Ale 100000 137758 59679.3 0.0019975
QNR Ale 150000 235522 103737 0.0020615
QNR Ale 200000 357917 205262 0.003731
QNR Ale 250000 474591 220402 0.003542
QNR Ale 300000 619772 288652 0.0053935
QNR Ale 350000 622447 292332 0.002915
QNR Ale 400000 715342 321846 0.003055
QNR Ale 450000 699305 335267 0.003894
QNR Ale 500000 780266 410327 0.006767
QNR OrdC 50000 684481 65534 0.003168
QNR OrdC 100000 1.46895e+06 131070 0.007783
QNR OrdC 150000 2.28788e+06 168928 0.009392
QNR OrdC 200000 3.13788e+06 262142 0.0146
QNR OrdC 250000 3.98788e+06 262142 0.015885
QNR OrdC 300000 4.87573e+06 337856 0.020364
QNR OrdC 350000 5.77573e+06 437856 0.0240145
QNR OrdC 400000 6.67573e+06 524286 0.029416
QNR OrdC 450000 7.57573e+06 524286 0.0303025
QNR OrdC 500000 8.47573e+06 524286 0.0334995
QNR OrdD 50000 634496 115532 0.003243
QNR OrdD 100000 1.36896e+06 231068 0.007607
QNR OrdD 150000 2.13789e+06 318928 0.0096315
QNR OrdD 200000 2.93789e+06 462140 0.0138975
QNR OrdD 250000 3.73789e+06 512140 0.016931
QNR OrdD 300000 4.57575e+06 637856 0.020941
QNR OrdD 350000 5.42575e+06 787856 0.0257795
QNR OrdD 400000 6.27575e+06 924284 0.0288555
QNR OrdD 450000 7.12575e+06 974284 0.034352
QNR OrdD 500000 7.97575e+06 1.02428e+06 0.033203
QC Ale 50000 618210 398626 0.0070565
QC Ale 100000 1.33991e+06 843156 0.014791
QC Ale 150000 2.13549e+06 1.30225e+06 0.023085
QC Ale 200000 2.78667e+06 1.78359e+06 0.0317435
QC Ale 250000 3.67396e+06 2.25933e+06 0.040583
QC Ale 300000 4.49381e+06 2.7497e+06 0.0495625
QC Ale 350000 5.29786e+06 3.24605e+06 0.0580485
